Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Attachment,Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (development),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Validate Format : Selecting multiple user types - Failed,SCRUM-29,10079,Bug,In Progress,SCRUM,Invoice Update & Purchase App Management System,software,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,Your first project,High,,Kalva Bhageerath,712020:21df9310-9bba-4835-b6c6-e85b570bf23c,ADARSH SURESHKUMAR,712020:b55e35db-8659-4f88-a554-9242e1212496,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,03/Jul/25 3:17 PM,28/Jul/25 9:46 PM,03/Jul/25 3:19 PM,,,0,Multiple user types are selectable. No error displayed.,,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,,,,,,,,,,,,SCRUM-2,03/Jul/25 3:16 PM;ef8de984-3c38-41e7-bcc6-69a078a32653;image-2025-07-03-15-16-03-230.png;https://cognizant-abhigyanarth.atlassian.net/rest/api/3/attachment/content/10046,,0|i00019:i,Sprint 1,Sprint 2,Sprint 3,Sprint 4,,,,,,10033,SCRUM-1,Invoice Update & Purchase App Management System,In Progress,03/Jul/25 3:22 PM
Validate quantity format : Invalid input - Failed,SCRUM-27,10077,Bug,In Progress,SCRUM,Invoice Update & Purchase App Management System,software,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,Your first project,High,,Kalva Bhageerath,712020:21df9310-9bba-4835-b6c6-e85b570bf23c,Vishnu Pradeep,712020:a0b6ad75-5e38-42b8-8184-e4127aec4eba,Vishnu Pradeep,712020:a0b6ad75-5e38-42b8-8184-e4127aec4eba,03/Jul/25 3:12 PM,28/Jul/25 9:46 PM,03/Jul/25 3:19 PM,,,0,"When invalid input is entered , instead of displaying an error, the value is accepted.",,Vishnu Pradeep,712020:a0b6ad75-5e38-42b8-8184-e4127aec4eba,,,,,,,,,,,,SCRUM-3,03/Jul/25 3:12 PM;ug:309c0c42-e242-45e1-9ca7-076d138a6d21;Invalid input bug.png;https://cognizant-abhigyanarth.atlassian.net/rest/api/3/attachment/content/10042,,0|i0001a:r,Sprint 1,Sprint 2,Sprint 3,Sprint 4,,,,,,10033,SCRUM-1,Invoice Update & Purchase App Management System,In Progress,03/Jul/25 3:22 PM
Validate Total Purchase Cost for updated quantity - Failed,SCRUM-26,10076,Bug,In Progress,SCRUM,Invoice Update & Purchase App Management System,software,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,Your first project,High,,Kalva Bhageerath,712020:21df9310-9bba-4835-b6c6-e85b570bf23c,Vuppala Hemanth,712020:41442bef-b832-451b-b588-d3c390d6b644,Vuppala Hemanth,712020:41442bef-b832-451b-b588-d3c390d6b644,03/Jul/25 3:12 PM,28/Jul/25 9:46 PM,03/Jul/25 3:20 PM,,,0,"while selecting quantity of item and selecting the item the cost is updating and again once the same item's 
quantity is updated by user and while clicking on show items the total purchased cost is not getting updated and showing the old purchase cost.",,Vuppala Hemanth,712020:41442bef-b832-451b-b588-d3c390d6b644,,,,,,,,,,,,SCRUM-3,03/Jul/25 3:12 PM;ug:0e54a986-5b59-4a3e-8106-acfbbeb9b45c;Screenshot 2025-07-03 150820.png;https://cognizant-abhigyanarth.atlassian.net/rest/api/3/attachment/content/10040,,0|i0001a:i,Sprint 1,Sprint 2,Sprint 3,Sprint 4,,,,,,10033,SCRUM-1,Invoice Update & Purchase App Management System,In Progress,03/Jul/25 3:22 PM
Validate quantity format : Negative quantity values - Failed,SCRUM-25,10075,Bug,In Progress,SCRUM,Invoice Update & Purchase App Management System,software,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,Your first project,High,,Kalva Bhageerath,712020:21df9310-9bba-4835-b6c6-e85b570bf23c,Vishnu Pradeep,712020:a0b6ad75-5e38-42b8-8184-e4127aec4eba,Vishnu Pradeep,712020:a0b6ad75-5e38-42b8-8184-e4127aec4eba,03/Jul/25 3:07 PM,28/Jul/25 9:46 PM,03/Jul/25 3:28 PM,,,0,"When we enter negative quantity values, we should get an error, but no error is shown and the negative value is presented in the table.",,Vishnu Pradeep,712020:a0b6ad75-5e38-42b8-8184-e4127aec4eba,,,,,,,,,,,,SCRUM-3,03/Jul/25 3:01 PM;ug:309c0c42-e242-45e1-9ca7-076d138a6d21;Negative input bug.png;https://cognizant-abhigyanarth.atlassian.net/rest/api/3/attachment/content/10038,,0|i0001a:,Sprint 1,Sprint 2,Sprint 3,Sprint 4,,,,,,10033,SCRUM-1,Invoice Update & Purchase App Management System,In Progress,03/Jul/25 3:22 PM
Validate Required Fields: Amount using invalid input - Failed,SCRUM-24,10074,Bug,In Progress,SCRUM,Invoice Update & Purchase App Management System,software,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,Your first project,High,,Kalva Bhageerath,712020:21df9310-9bba-4835-b6c6-e85b570bf23c,Kalva Bhageerath,712020:21df9310-9bba-4835-b6c6-e85b570bf23c,Kalva Bhageerath,712020:21df9310-9bba-4835-b6c6-e85b570bf23c,03/Jul/25 2:57 PM,28/Jul/25 9:46 PM,03/Jul/25 3:19 PM,,,0,No error was thrown and invalid amount is accepted.,,Kalva Bhageerath,712020:21df9310-9bba-4835-b6c6-e85b570bf23c,,,,,,,,,,,,SCRUM-2,03/Jul/25 2:56 PM;ug:079577c6-6f91-4a56-a0cd-82ca7eb1a966;image-2025-07-03-14-56-32-130.png;https://cognizant-abhigyanarth.atlassian.net/rest/api/3/attachment/content/10036,,0|i00019:,Sprint 1,Sprint 2,Sprint 3,Sprint 4,,,,,,10033,SCRUM-1,Invoice Update & Purchase App Management System,In Progress,03/Jul/25 2:57 PM
Validate Optional Field: Mobile Number with invalid input - Failed,SCRUM-23,10073,Bug,In Progress,SCRUM,Invoice Update & Purchase App Management System,software,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,Your first project,High,,Kalva Bhageerath,712020:21df9310-9bba-4835-b6c6-e85b570bf23c,Kalva Bhageerath,712020:21df9310-9bba-4835-b6c6-e85b570bf23c,Kalva Bhageerath,712020:21df9310-9bba-4835-b6c6-e85b570bf23c,03/Jul/25 2:53 PM,28/Jul/25 9:46 PM,03/Jul/25 3:19 PM,,,0,Form Registered successfully instead of throwing bugs ,,Kalva Bhageerath,712020:21df9310-9bba-4835-b6c6-e85b570bf23c,,,,,,,,,,,,SCRUM-2,03/Jul/25 2:48 PM;ug:079577c6-6f91-4a56-a0cd-82ca7eb1a966;image-2025-07-03-14-48-57-471.png;https://cognizant-abhigyanarth.atlassian.net/rest/api/3/attachment/content/10034,,0|i00017:,Sprint 1,Sprint 2,Sprint 3,Sprint 4,,,,,,10033,SCRUM-1,Invoice Update & Purchase App Management System,In Progress,03/Jul/25 2:53 PM
API Testing (Postman),SCRUM-5,10037,Story,Done,SCRUM,Invoice Update & Purchase App Management System,software,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,Your first project,Medium,Done,,,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,03/Jul/25 7:33 AM,28/Jul/25 9:54 PM,28/Jul/25 9:46 PM,28/Jul/25 9:46 PM,,0,,,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,,,,,,,,,,,,,,,0|i0000p:,Sprint 3,,,,,,,,,10033,SCRUM-1,Invoice Update & Purchase App Management System,Done,28/Jul/25 9:46 PM
UI Automation (BDD+Selenium+ DDF),SCRUM-4,10036,Story,In Progress,SCRUM,Invoice Update & Purchase App Management System,software,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,Your first project,Medium,,,,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,03/Jul/25 7:33 AM,28/Jul/25 9:54 PM,25/Jul/25 5:04 PM,,,0,,,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,,,,,,,,,,,,,,,0|i0000r:,Sprint 2,Sprint 3,Sprint 4,,,,,,,10033,SCRUM-1,Invoice Update & Purchase App Management System,In Progress,23/Jul/25 9:43 AM
Purchase App Module,SCRUM-3,10035,Story,In Progress,SCRUM,Invoice Update & Purchase App Management System,software,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,Your first project,Medium,,,,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,03/Jul/25 7:32 AM,28/Jul/25 9:46 PM,03/Jul/25 7:37 AM,,,0,,,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,,,,,,,,,SCRUM-27,SCRUM-26,SCRUM-25,,,,0|i00013:,Sprint 1,Sprint 2,Sprint 3,Sprint 4,,,,,,10033,SCRUM-1,Invoice Update & Purchase App Management System,In Progress,03/Jul/25 3:28 PM
Invoice Updates Module,SCRUM-2,10034,Story,In Progress,SCRUM,Invoice Update & Purchase App Management System,software,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,Your first project,Medium,,,,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,03/Jul/25 7:32 AM,28/Jul/25 9:46 PM,24/Jul/25 5:00 PM,,,0,,,Abhigyan Arth,712020:f5dbcd90-d29a-4e2f-a3a9-2e918bdfd77c,,,,,,,,,SCRUM-23,SCRUM-24,SCRUM-29,,,,0|i0000v:,Sprint 1,Sprint 2,Sprint 3,Sprint 4,,,,,,10033,SCRUM-1,Invoice Update & Purchase App Management System,In Progress,03/Jul/25 3:28 PM
